"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000217655.1","GCA_030436145.1"
"Methionine ABC superfamily ATP binding cassette transporter, membrane protein","","Methionine ABC superfamily ATP binding cassette transporter, membrane protein","2","2","1","1","240","","","","659","659","659","LIHGCB_00120","OBIBPL_00121"
"MurNAc-LAA domain-containing protein","","MurNAc-LAA domain-containing protein","2","2","1","1","363","","","","1031","1031","1031","LIHGCB_00252","OBIBPL_00254"
"Translation initiation factor IF-3","","Translation initiation factor IF-3","2","2","1","1","926","","","","521","521","521","LIHGCB_00842","OBIBPL_00841"
"group_479","hypothetical protein","hypothetical protein","2","2","1","1","154","","","","824","824","824","LIHGCB_00031","OBIBPL_00031"
"Small ribosomal subunit protein uS17","","Small ribosomal subunit protein uS17","2","2","1","1","314","","","","269","269","269","LIHGCB_00196","OBIBPL_00199"
"group_481","hypothetical protein","hypothetical protein","2","2","1","1","427","","","","305","305","305","LIHGCB_00413","OBIBPL_00410"
"Putative glutamine-dependent NAD(+) synthetase","","Putative glutamine-dependent NAD(+) synthetase","2","2","1","1","863","","","","2024","2024","2024","LIHGCB_00778","OBIBPL_00778"
"group_483","hypothetical protein","hypothetical protein","2","2","1","1","51","","","","146","146","146","LIHGCB_00979","OBIBPL_00976"
"clpB","","Chaperone protein ClpB","2","2","1","1","190","","","","2636","2636","2636","LIHGCB_00067","OBIBPL_00067"
"ABC transmembrane type-1 domain-containing protein","","ABC transmembrane type-1 domain-containing protein","2","2","1","1","743","","","","818","818","818","LIHGCB_00651","OBIBPL_00650"
"Large ribosomal subunit protein uL16","","Large ribosomal subunit protein uL16","2","2","1","1","312","","","","419","419","419","LIHGCB_00194","OBIBPL_00197"
"group_487","hypothetical protein","hypothetical protein","2","2","1","1","864","","","","950","950","950","LIHGCB_00779","OBIBPL_00779"
"Ribose/galactose ABC transporter, ATP-binding protein (RbsA-2)","","Ribose/galactose ABC transporter, ATP-binding protein (RbsA-2)","2","2","1","1","514","","","","1601","1601","1601","LIHGCB_00323","OBIBPL_00321"
"Oligopeptide ABC superfamily ATP binding cassette transporter, membrane/binding protein","","Oligopeptide ABC superfamily ATP binding cassette transporter, membrane/binding protein","2","2","1","1","680","","","","1643","1643","1643","LIHGCB_00583","OBIBPL_00580"
"group_490","hypothetical protein","hypothetical protein","2","2","1","1","808","","","","131","131","131","LIHGCB_00721","OBIBPL_00720"
"hflC","","Protein HflC","2","2","1","1","234","","","","995","995","995","LIHGCB_00114","OBIBPL_00115"
"group_492","hypothetical protein","hypothetical protein","2","2","1","1","491","","","","710","710","710","LIHGCB_00348","OBIBPL_00346"
"group_493","hypothetical protein","hypothetical protein","2","2","1","1","40","","","","947","947","947","LIHGCB_00992","OBIBPL_00989"
"tetrahydrofolate synthase","","tetrahydrofolate synthase","2","2","1","1","498","","","","1472","1472","1472","LIHGCB_00341","OBIBPL_00339"
"Phosphomannomutase (ManB)","","Phosphomannomutase (ManB)","2","2","1","1","732","","","","1760","1760","1760","LIHGCB_00640","OBIBPL_00639"
"group_496","hypothetical protein","hypothetical protein","2","2","1","1","179","","","","470","470","470","LIHGCB_00056","OBIBPL_00056"
"group_497","hypothetical protein","hypothetical protein","2","2","1","1","191","","","","272","272","272","LIHGCB_00068","OBIBPL_00068"
"GTPase Era","","GTPase Era","2","2","1","1","637","","","","959","959","959","LIHGCB_00540","OBIBPL_00537"
"group_499","hypothetical protein","hypothetical protein","2","2","1","1","135","","","","185","185","185","LIHGCB_00006","OBIBPL_00006"
"clpA","","ATP-dependent Clp protease ATP-binding subunit ClpA","2","2","1","1","881","","","","152","2429","1290","LIHGCB_00796","OBIBPL_00796"
"group_500","hypothetical protein","hypothetical protein","2","2","1","1","364","","","","473","473","473","LIHGCB_00253","OBIBPL_00255"
"Pyruvate-flavodoxin oxidoreductase","","Pyruvate-flavodoxin oxidoreductase","2","2","1","1","102","","","","3554","3554","3554","LIHGCB_00928","OBIBPL_00926"
"Efflux RND transporter periplasmic adaptor subunit","","Efflux RND transporter periplasmic adaptor subunit","2","2","1","1","76","","","","962","962","962","LIHGCB_00954","OBIBPL_00951"
"dnaK","","DnaK suppressor, putative","2","2","1","1","215","","","","362","362","362","LIHGCB_00092","OBIBPL_00092"
"rpoD","","RNA polymerase sigma factor RpoD","2","2","1","1","592","","","","1832","1832","1832","LIHGCB_00490","OBIBPL_00487"
"Large ribosomal subunit protein uL10","","Large ribosomal subunit protein uL10","2","2","1","1","355","","","","542","542","542","LIHGCB_00244","OBIBPL_00246"
"group_506","hypothetical protein","hypothetical protein","2","2","1","1","723","","","","1274","1274","1274","LIHGCB_00628","OBIBPL_00626"
"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)","","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)","2","2","1","1","548","","","","1259","1259","1259","LIHGCB_00445","OBIBPL_00442"
"flgC","","Flagellar basal-body rod protein FlgC","2","2","1","1","442","","","","455","455","455","LIHGCB_00398","OBIBPL_00395"
"group_509","hypothetical protein","hypothetical protein","2","2","1","1","780","","","","1322","1322","1322","LIHGCB_00692","OBIBPL_00691"
"HD-GYP domain-containing protein","","HD-GYP domain-containing protein","2","2","1","1","847","","","","1175","1175","1175","LIHGCB_00760","OBIBPL_00759"
"group_511","hypothetical protein","hypothetical protein","2","2","1","1","937","","","","131","131","131","LIHGCB_00853","OBIBPL_00851"
"Uncharacterized protein TP_1032","","Uncharacterized protein TP_1032","2","2","1","1","10","","","","434","434","434","LIHGCB_01021","OBIBPL_01018"
"Flavodoxin","","Flavodoxin","2","2","1","1","115","","","","440","440","440","LIHGCB_00914","OBIBPL_00912"
"group_514","hypothetical protein","hypothetical protein","2","2","1","1","203","","","","233","233","233","LIHGCB_00080","OBIBPL_00080"
"Peptide methionine sulfoxide reductase MsrB/MsrA","","Peptide methionine sulfoxide reductase MsrB/MsrA","2","2","1","1","725","","","","875","875","875","LIHGCB_00630","OBIBPL_00628"
"DNA primase","","DNA primase","2","2","1","1","591","","","","1817","1817","1817","LIHGCB_00489","OBIBPL_00486"
"group_517","Tetratricopeptide repeat protein","Tetratricopeptide repeat protein","2","2","1","1","737","","","","1976","1976","1976","LIHGCB_00645","OBIBPL_00644"
"group_518","hypothetical protein","hypothetical protein","2","2","1","1","862","","","","644","644","644","LIHGCB_00777","OBIBPL_00777"
"DNA topoisomerase 1","","DNA topoisomerase 1","2","2","1","1","445","","","","2195","2195","2195","LIHGCB_00395","OBIBPL_00392"
"group_520","hypothetical protein","hypothetical protein","2","2","1","1","546","","","","1028","1028","1028","LIHGCB_00443","OBIBPL_00440"
"group_521","hypothetical protein","hypothetical protein","2","2","1","1","756","","","","602","602","602","LIHGCB_00665","OBIBPL_00664"
"Small ribosomal subunit protein bS20","","Small ribosomal subunit protein bS20","2","2","1","1","366","","","","287","287","287","LIHGCB_00255","OBIBPL_00257"
"group_523","hypothetical protein","hypothetical protein","2","2","1","1","921","","","","533","533","533","LIHGCB_00837","OBIBPL_00836"
"group_524","hypothetical protein","hypothetical protein","2","2","1","1","976","","","","1598","1598","1598","LIHGCB_00891","OBIBPL_00889"
"RNA polymerase sigma-24 factor (RpoE)","","RNA polymerase sigma-24 factor (RpoE)","2","2","1","1","211","","","","539","539","539","LIHGCB_00088","OBIBPL_00088"
"Tryptophan--tRNA ligase","","Tryptophan--tRNA ligase","2","2","1","1","724","","","","1013","1013","1013","LIHGCB_00629","OBIBPL_00627"
"Uncharacterized protein TP_0598","","Uncharacterized protein TP_0598","2","2","1","1","690","","","","2120","2120","2120","LIHGCB_00597","OBIBPL_00594"
"C-terminal processing peptidase","","C-terminal processing peptidase","2","2","1","1","394","","","","1346","1346","1346","LIHGCB_00288","OBIBPL_00290"
"group_529","hypothetical protein","hypothetical protein","2","2","1","1","247","","","","671","671","671","LIHGCB_00127","OBIBPL_00128"
"group_530","hypothetical protein","hypothetical protein","2","2","1","1","927","","","","2168","2168","2168","LIHGCB_00843","OBIBPL_00842"
"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","2","2","1","1","620","","","","1154","1154","1154","LIHGCB_00522","OBIBPL_00519"
"group_532","hypothetical protein","hypothetical protein","2","2","1","1","878","","","","791","791","791","LIHGCB_00793","OBIBPL_00793"
"DMT superfamily drug/metabolite transporter","","DMT superfamily drug/metabolite transporter","2","2","1","1","56","","","","884","884","884","LIHGCB_00974","OBIBPL_00971"
"Uncharacterized protein TP_0976","","Uncharacterized protein TP_0976","2","2","1","1","66","","","","1319","1319","1319","LIHGCB_00964","OBIBPL_00961"
"group_535","hypothetical protein","hypothetical protein","2","2","1","1","849","","","","881","881","881","LIHGCB_00762","OBIBPL_00761"
"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY","2","2","1","1","186","","","","1148","1148","1148","LIHGCB_00063","OBIBPL_00063"
"DUF2259 domain-containing protein","","DUF2259 domain-containing protein","2","2","1","1","41","","","","755","755","755","LIHGCB_00991","OBIBPL_00988"
"UDP-N-acetylglucosamine 1-carboxyvinyltransferase","","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","2","2","1","1","152","","","","1277","1277","1277","LIHGCB_00029","OBIBPL_00029"
"Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase","","Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase","2","2","1","1","928","","","","998","998","998","LIHGCB_00844","OBIBPL_00843"
"group_540","hypothetical protein","hypothetical protein","2","2","1","1","30","","","","266","266","266","LIHGCB_01002","OBIBPL_00999"
"Elongation factor Tu","","Elongation factor Tu","2","2","1","1","303","","","","1187","1187","1187","LIHGCB_00185","OBIBPL_00188"
"Uncharacterized protein TP_0608","","Uncharacterized protein TP_0608","2","2","1","1","699","","","","728","728","728","LIHGCB_00607","OBIBPL_00604"
"group_543","hypothetical protein","hypothetical protein","2","2","1","1","79","","","","1232","1232","1232","LIHGCB_00951","OBIBPL_00948"
"YjgP/YjgQ family permease","","YjgP/YjgQ family permease","2","2","1","1","956","","","","1118","1118","1118","LIHGCB_00872","OBIBPL_00870"
"Glutamyl-tRNA(Gln) amidotransferase subunit A","","Glutamyl-tRNA(Gln) amidotransferase subunit A","2","2","1","1","23","","","","1520","1520","1520","LIHGCB_01009","OBIBPL_01006"
"group_546","hypothetical protein","hypothetical protein","2","2","1","1","189","","","","386","386","386","LIHGCB_00066","OBIBPL_00066"
"fliR","","Flagellar biosynthetic protein FliR","2","2","1","1","801","","","","797","797","797","LIHGCB_00714","OBIBPL_00713"
"group_548","hypothetical protein","hypothetical protein","2","2","1","1","369","","","","413","413","413","LIHGCB_00258","OBIBPL_00260"
"TPR repeat-containing protein TP_0920","","TPR repeat-containing protein TP_0920","2","2","1","1","120","","","","2423","2423","2423","LIHGCB_00907","OBIBPL_00905"
"group_550","hypothetical protein","hypothetical protein","2","2","1","1","32","","","","608","608","608","LIHGCB_01000","OBIBPL_00997"
"Oxaloacetate decarboxylase beta chain","","Oxaloacetate decarboxylase beta chain","2","2","1","1","177","","","","1409","1409","1409","LIHGCB_00054","OBIBPL_00054"
"Pseudouridine synthase","","Pseudouridine synthase","2","2","1","1","499","","","","995","995","995","LIHGCB_00340","OBIBPL_00338"
"group_553","flaB1","Flagellin FlaB1","2","2","1","1","874","","","","860","860","860","LIHGCB_00789","OBIBPL_00789"
"group_554","hypothetical protein","hypothetical protein","2","2","1","1","775","","","","992","992","992","LIHGCB_00686","OBIBPL_00685"
"vwb","","vascular adhesin/metalloprotease pallilysin","2","2","1","1","835","","","","713","713","713","LIHGCB_00748","OBIBPL_00747"
"Trigger factor","","Trigger factor","2","2","1","1","603","","","","1328","1328","1328","LIHGCB_00505","OBIBPL_00502"
"flgF","","Flagellar basal-body rod protein FlgF","2","2","1","1","80","","","","815","815","815","LIHGCB_00950","OBIBPL_00947"
"group_558","hypothetical protein","hypothetical protein","2","2","1","1","629","","","","296","296","296","LIHGCB_00531","OBIBPL_00528"
"Large ribosomal subunit protein uL13","","Large ribosomal subunit protein uL13","2","2","1","1","18","","","","428","428","428","LIHGCB_01014","OBIBPL_01011"
"protein-glutamate O-methyltransferase","","protein-glutamate O-methyltransferase","2","2","1","1","722","","","","842","842","842","LIHGCB_00627","OBIBPL_00625"
"group_560","hypothetical protein","hypothetical protein","2","2","1","1","174","","","","959","959","959","LIHGCB_00051","OBIBPL_00051"
"Nickel/cobalt efflux system","","Nickel/cobalt efflux system","2","2","1","1","655","","","","908","908","908","LIHGCB_00558","OBIBPL_00555"
"Uncharacterized protein TP_0690","","Uncharacterized protein TP_0690","2","2","1","1","777","","","","581","581","581","LIHGCB_00688","OBIBPL_00687"
"group_563","hypothetical protein","hypothetical protein","2","2","1","1","753","","","","755","755","755","LIHGCB_00661","OBIBPL_00660"
"group_564","hypothetical protein","hypothetical protein","2","2","1","1","551","","","","590","590","590","LIHGCB_00448","OBIBPL_00445"
"Treponemal membrane protein A","","Treponemal membrane protein A","2","2","1","1","851","","","","1037","1037","1037","LIHGCB_00764","OBIBPL_00763"
"Large ribosomal subunit protein bL35","","Large ribosomal subunit protein bL35","2","2","1","1","925","","","","200","200","200","LIHGCB_00841","OBIBPL_00840"
"AMP-activated protein kinase glycogen-binding domain-containing protein","","AMP-activated protein kinase glycogen-binding domain-containing protein","2","2","1","1","53","","","","704","704","704","LIHGCB_00977","OBIBPL_00974"
"group_568","hypothetical protein","hypothetical protein","2","2","1","1","166","","","","701","701","701","LIHGCB_00043","OBIBPL_00043"
"UDP-4-keto-6-deoxy-N-acetylglucosamine 4-aminotransferase","","UDP-4-keto-6-deoxy-N-acetylglucosamine 4-aminotransferase","2","2","1","1","197","","","","1238","1238","1238","LIHGCB_00074","OBIBPL_00074"
"Thioredoxin","","Thioredoxin","2","2","1","1","991","","","","317","317","317","LIHGCB_00906","OBIBPL_00904"
"Thioesterase family protein","","Thioesterase family protein","2","2","1","1","278","","","","404","404","404","LIHGCB_00159","OBIBPL_00162"
"Spermidine/putrescine-binding protein","","Spermidine/putrescine-binding protein","2","2","1","1","744","","","","1046","1046","1046","LIHGCB_00652","OBIBPL_00651"
"group_572","hypothetical protein","hypothetical protein","2","2","1","1","406","","","","635","635","635","LIHGCB_00300","OBIBPL_00302"
"group_573","hypothetical protein","hypothetical protein","2","2","1","1","447","","","","752","752","752","LIHGCB_00393","OBIBPL_00390"
"group_574","hypothetical protein","hypothetical protein","2","2","1","1","633","","","","410","410","410","LIHGCB_00535","OBIBPL_00532"
"group_575","hypothetical protein","hypothetical protein","2","2","1","1","329","","","","494","494","494","LIHGCB_00211","OBIBPL_00214"
"Flagellar hook-associated protein 2","","Flagellar hook-associated protein 2","2","2","1","1","945","","","","2168","2168","2168","LIHGCB_00861","OBIBPL_00859"
"group_577","hypothetical protein","hypothetical protein","2","2","1","1","547","","","","629","629","629","LIHGCB_00444","OBIBPL_00441"
"Uncharacterized protein TP_0833","","Uncharacterized protein TP_0833","2","2","1","1","909","","","","716","716","716","LIHGCB_00825","OBIBPL_00824"
"Hemolysin III","","Hemolysin III","2","2","1","1","5","","","","716","716","716","LIHGCB_01026","OBIBPL_01023"
"Large ribosomal subunit protein uL15","","Large ribosomal subunit protein uL15","2","2","1","1","323","","","","461","461","461","LIHGCB_00205","OBIBPL_00208"
"tRNA (guanine-N(7)-)-methyltransferase","","tRNA (guanine-N(7)-)-methyltransferase","2","2","1","1","566","","","","752","752","752","LIHGCB_00462","OBIBPL_00459"
"group_581","hypothetical protein","hypothetical protein","2","2","1","1","478","","","","635","635","635","LIHGCB_00361","OBIBPL_00359"
"2-dehydro-3-deoxy-phosphogluconate aldolase","","2-dehydro-3-deoxy-phosphogluconate aldolase","2","2","1","1","665","","","","632","632","632","LIHGCB_00568","OBIBPL_00565"
"group_583","hypothetical protein","hypothetical protein","2","2","1","1","149","","","","1022","1022","1022","LIHGCB_00026","OBIBPL_00026"
"group_584","hypothetical protein","hypothetical protein","2","2","1","1","754","","","","176","176","176","LIHGCB_00662","OBIBPL_00661"
"group_585","hypothetical protein","hypothetical protein","2","2","1","1","273","","","","1019","1019","1019","LIHGCB_00154","OBIBPL_00157"
"nusB","","Transcription antitermination protein NusB","2","2","1","1","28","","","","425","425","425","LIHGCB_01004","OBIBPL_01001"
"group_587","hypothetical protein","hypothetical protein","2","2","1","1","50","","","","287","287","287","LIHGCB_00980","OBIBPL_00977"
"HAD-superfamily hydrolase, subfamily IA","","HAD-superfamily hydrolase, subfamily IA","2","2","1","1","651","","","","659","659","659","LIHGCB_00554","OBIBPL_00551"
"Lipase, putative","","Lipase, putative","2","2","1","1","89","","","","1007","1007","1007","LIHGCB_00941","OBIBPL_00938"
"group_59","hypothetical protein","hypothetical protein","2","2","1","1","17","","","","242","242","242","LIHGCB_01015","OBIBPL_01012"
"group_590","hypothetical protein","hypothetical protein","2","2","1","1","261","","","","533","533","533","LIHGCB_00141","OBIBPL_00143"
"group_591","hypothetical protein","hypothetical protein","2","2","1","1","662","","","","1217","1217","1217","LIHGCB_00565","OBIBPL_00562"
"group_592","Cyclic nucleotide-binding domain-containing protein","Cyclic nucleotide-binding domain-containing protein","2","2","1","1","47","","","","1334","1334","1334","LIHGCB_00984","OBIBPL_00981"
"group_593","hypothetical protein","hypothetical protein","2","2","1","1","907","","","","1769","1769","1769","LIHGCB_00823","OBIBPL_00822"
"group_594","hypothetical protein","hypothetical protein","2","2","1","1","396","","","","719","719","719","LIHGCB_00290","OBIBPL_00292"
"group_595","hypothetical protein","hypothetical protein","2","2","1","1","979","","","","536","536","536","LIHGCB_00894","OBIBPL_00892"
"group_596","Lipoprotein","Lipoprotein","2","2","1","1","735","","","","1142","1142","1142","LIHGCB_00643","OBIBPL_00642"
"ychF","","Ribosome-binding ATPase YchF","2","2","1","1","245","","","","1106","1106","1106","LIHGCB_00125","OBIBPL_00126"
"Uncharacterized protein TP_0245","","Uncharacterized protein TP_0245","2","2","1","1","361","","","","3323","3323","3323","LIHGCB_00250","OBIBPL_00252"
"Uncharacterized protein TP_0437","","Uncharacterized protein TP_0437","2","2","1","1","539","","","","464","464","464","LIHGCB_00436","OBIBPL_00433"
"Elongation factor G 1","","Elongation factor G 1","2","2","1","1","850","","","","2087","2087","2087","LIHGCB_00763","OBIBPL_00762"
"3'-5' exonuclease","","3'-5' exonuclease","2","2","1","1","733","","","","647","647","647","LIHGCB_00641","OBIBPL_00640"
"group_601","hypothetical protein","hypothetical protein","2","2","1","1","410","","","","1133","1133","1133","LIHGCB_00304","OBIBPL_00306"
"mutS","","DNA mismatch repair protein MutS","2","2","1","1","508","","","","2702","2702","2702","LIHGCB_00329","OBIBPL_00327"
"NSS family neurotransmitter:Na+ symporter","","NSS family neurotransmitter:Na+ symporter","2","2","1","1","146","","","","1331","1331","1331","LIHGCB_00023","OBIBPL_00023"
"Large ribosomal subunit protein bL33","","Large ribosomal subunit protein bL33","2","2","1","1","350","","","","170","170","170","LIHGCB_00238","OBIBPL_00240"
"Uncharacterized protein TP_0222","","Uncharacterized protein TP_0222","2","2","1","1","339","","","","446","446","446","LIHGCB_00221","OBIBPL_00224"
"TPM domain-containing protein","","TPM domain-containing protein","2","2","1","1","667","","","","785","785","785","LIHGCB_00570","OBIBPL_00567"
"Peptide deformylase","","Peptide deformylase","2","2","1","1","841","","","","488","488","488","LIHGCB_00754","OBIBPL_00753"
"DNA-directed RNA polymerase subunit omega","","DNA-directed RNA polymerase subunit omega","2","2","1","1","787","","","","203","203","203","LIHGCB_00699","OBIBPL_00698"
"putative macrolide ABC superfamily ATP binding cassette transporter, ABC/membrane protein","","putative macrolide ABC superfamily ATP binding cassette transporter, ABC/membrane protein","2","2","1","1","78","","","","1229","1229","1229","LIHGCB_00952","OBIBPL_00949"
"Xaa-Pro aminopeptidase","","Xaa-Pro aminopeptidase","2","2","1","1","666","","","","2240","2240","2240","LIHGCB_00569","OBIBPL_00566"
"tRNA(Ile)-lysidine synthase","","tRNA(Ile)-lysidine synthase","2","2","1","1","464","","","","1433","1433","1433","LIHGCB_00376","OBIBPL_00373"
"Ribulose-phosphate 3-epimerase","","Ribulose-phosphate 3-epimerase","2","2","1","1","97","","","","656","656","656","LIHGCB_00933","OBIBPL_00931"
"group_612","hypothetical protein","hypothetical protein","2","2","1","1","768","","","","1133","1133","1133","LIHGCB_00679","OBIBPL_00678"
"group_613","Tetratricopeptide repeat protein","Tetratricopeptide repeat protein","2","2","1","1","52","","","","3101","3101","3101","LIHGCB_00978","OBIBPL_00975"
"Peptidase M23 domain-containing protein","","Peptidase M23 domain-containing protein","2","2","1","1","169","","","","1091","1091","1091","LIHGCB_00046","OBIBPL_00046"
"CobQ/CobB/MinD/ParA nucleotide binding domain-containing protein","","CobQ/CobB/MinD/ParA nucleotide binding domain-containing protein","2","2","1","1","929","","","","1136","1136","1136","LIHGCB_00845","OBIBPL_00844"
"group_616","hypothetical protein","hypothetical protein","2","2","1","1","105","","","","635","635","635","LIHGCB_00925","OBIBPL_00923"
"group_617","hypothetical protein","hypothetical protein","2","2","1","1","524","","","","968","968","968","LIHGCB_00422","OBIBPL_00419"
"ruvC","","Crossover junction endodeoxyribonuclease RuvC","2","2","1","1","614","","","","590","590","590","LIHGCB_00516","OBIBPL_00513"
"Large ribosomal subunit protein uL14","","Large ribosomal subunit protein uL14","2","2","1","1","315","","","","368","368","368","LIHGCB_00197","OBIBPL_00200"
"Alpha/beta hydrolase fold-3 domain-containing protein","","Alpha/beta hydrolase fold-3 domain-containing protein","2","2","1","1","107","","","","908","908","908","LIHGCB_00922","OBIBPL_00920"
"Large ribosomal subunit protein uL30","","Large ribosomal subunit protein uL30","2","2","1","1","322","","","","185","185","185","LIHGCB_00204","OBIBPL_00207"
"group_621","hypothetical protein","hypothetical protein","2","2","1","1","867","","","","599","599","599","LIHGCB_00782","OBIBPL_00782"
"Elongation factor G 2","","Elongation factor G 2","2","2","1","1","552","","","","2096","2096","2096","LIHGCB_00449","OBIBPL_00446"
"group_623","hypothetical protein","hypothetical protein","2","2","1","1","500","","","","488","488","488","LIHGCB_00339","OBIBPL_00337"
"group_624","Hemolysin, putative","Hemolysin, putative","2","2","1","1","150","","","","1325","1325","1325","LIHGCB_00027","OBIBPL_00027"
"Soluble lytic transglycosylase, putative","","Soluble lytic transglycosylase, putative","2","2","1","1","163","","","","2009","2009","2009","LIHGCB_00040","OBIBPL_00040"
"Large ribosomal subunit protein bL20","","Large ribosomal subunit protein bL20","2","2","1","1","924","","","","368","368","368","LIHGCB_00840","OBIBPL_00839"
"tRNA dimethylallyltransferase 2","","tRNA dimethylallyltransferase 2","2","2","1","1","728","","","","950","950","950","LIHGCB_00633","OBIBPL_00631"
"group_628","hypothetical protein","hypothetical protein","2","2","1","1","340","","","","1439","1439","1439","LIHGCB_00222","OBIBPL_00225"
"GTPase Obg","","GTPase Obg","2","2","1","1","827","","","","1130","1130","1130","LIHGCB_00740","OBIBPL_00739"
"fliW","","Flagellar assembly factor FliW","2","2","1","1","746","","","","452","452","452","LIHGCB_00654","OBIBPL_00653"
"group_630","hypothetical protein","hypothetical protein","2","2","1","1","639","","","","683","683","683","LIHGCB_00542","OBIBPL_00539"
"Uncharacterized protein TP_0447","","Uncharacterized protein TP_0447","2","2","1","1","549","","","","1124","1124","1124","LIHGCB_00446","OBIBPL_00443"
"Adenine DNA glycosylase","","Adenine DNA glycosylase","2","2","1","1","495","","","","833","833","833","LIHGCB_00344","OBIBPL_00342"
"Small ribosomal subunit protein uS5","","Small ribosomal subunit protein uS5","2","2","1","1","321","","","","518","518","518","LIHGCB_00203","OBIBPL_00206"
"group_634","hypothetical protein","hypothetical protein","2","2","1","1","908","","","","806","806","806","LIHGCB_00824","OBIBPL_00823"
"group_635","hypothetical protein","hypothetical protein","2","2","1","1","882","","","","1208","1208","1208","LIHGCB_00798","OBIBPL_00797"
"Flagellum-specific ATP synthase","","Flagellum-specific ATP synthase","2","2","1","1","437","","","","1343","1343","1343","LIHGCB_00403","OBIBPL_00400"
"Polymer-forming cytoskeletal protein","","Polymer-forming cytoskeletal protein","2","2","1","1","384","","","","365","365","365","LIHGCB_00278","OBIBPL_00280"
"group_638","hypothetical protein","hypothetical protein","2","2","1","1","219","","","","602","602","602","LIHGCB_00096","OBIBPL_00096"
"dITP/XTP pyrophosphatase","","dITP/XTP pyrophosphatase","2","2","1","1","540","","","","764","764","764","LIHGCB_00437","OBIBPL_00434"
"group_64","hypothetical protein","hypothetical protein","2","2","1","1","766","","","","317","317","317","LIHGCB_00677","OBIBPL_00676"
"group_640","hypothetical protein","hypothetical protein","2","2","1","1","527","","","","545","545","545","LIHGCB_00425","OBIBPL_00422"
"group_641","hypothetical protein","hypothetical protein","2","2","1","1","412","","","","1946","1946","1946","LIHGCB_00306","OBIBPL_00308"
"putative rRNA (Adenosine-2'-O-)-methyltransferase","","putative rRNA (Adenosine-2'-O-)-methyltransferase","2","2","1","1","229","","","","878","878","878","LIHGCB_00106","OBIBPL_00107"
"group_643","hypothetical protein","hypothetical protein","2","2","1","1","946","","","","602","602","602","LIHGCB_00862","OBIBPL_00860"
"group_644","hypothetical protein","hypothetical protein","2","2","1","1","20","","","","698","698","698","LIHGCB_01012","OBIBPL_01009"
"Large ribosomal subunit protein uL5","","Large ribosomal subunit protein uL5","2","2","1","1","317","","","","557","557","557","LIHGCB_00199","OBIBPL_00202"
"troR","","manganese/iron-sensitive transcriptional repressor TroR","2","2","1","1","288","","","","461","461","461","LIHGCB_00169","OBIBPL_00172"
"Serine--tRNA ligase","","Serine--tRNA ligase","2","2","1","1","736","","","","1280","1280","1280","LIHGCB_00644","OBIBPL_00643"
"Organic solvent tolerance-like N-terminal domain-containing protein","","Organic solvent tolerance-like N-terminal domain-containing protein","2","2","1","1","868","","","","686","686","686","LIHGCB_00783","OBIBPL_00783"
"Small ribosomal subunit protein uS11","","Small ribosomal subunit protein uS11","2","2","1","1","327","","","","380","380","380","LIHGCB_00209","OBIBPL_00212"
"group_65","hypothetical protein","hypothetical protein","2","2","1","1","431","","","","3254","3254","3254","LIHGCB_00409","OBIBPL_00406"
"traB","","TraB family protein","2","2","1","1","88","","","","1178","1178","1178","LIHGCB_00942","OBIBPL_00939"
"group_651","hypothetical protein","hypothetical protein","2","2","1","1","501","","","","857","857","857","LIHGCB_00338","OBIBPL_00336"
"group_652","hypothetical protein","hypothetical protein","2","2","1","1","362","","","","1952","1952","1952","LIHGCB_00251","OBIBPL_00253"
"group_653","hypothetical protein","hypothetical protein","2","2","1","1","104","","","","596","596","596","LIHGCB_00926","OBIBPL_00924"
"mreB","","Cell shape-determining protein MreB","2","2","1","1","595","","","","1034","1034","1034","LIHGCB_00494","OBIBPL_00491"
"group_655","hypothetical protein","hypothetical protein","2","2","1","1","624","","","","629","629","629","LIHGCB_00526","OBIBPL_00523"
"Glucose-6-phosphate isomerase","","Glucose-6-phosphate isomerase","2","2","1","1","575","","","","1607","1607","1607","LIHGCB_00471","OBIBPL_00468"
"Polyribonucleotide nucleotidyltransferase","","Polyribonucleotide nucleotidyltransferase","2","2","1","1","959","","","","2108","2108","2108","LIHGCB_00875","OBIBPL_00873"
"Serine-type D-Ala-D-Ala carboxypeptidase","","Serine-type D-Ala-D-Ala carboxypeptidase","2","2","1","1","880","","","","1403","1403","1403","LIHGCB_00795","OBIBPL_00795"
